original_title,release_year,director,production_companies,genres,budget (millions),revenue (millions),profit (millions),roi,popularity,vote_average,vote_count
My Soul to Take,2010,Wes Craven,Relativity Media|Rogue,Drama|Horror|Mystery|Thriller,25.0,19.83,-5.170000000000002,-0.21,0.6,5.2,75
TEKKEN,2010,Dwight H. Little,Namco|Light Song Films,Crime|Drama|Action|Thriller|Science Fiction,30.0,0.97,-29.03,-0.97,0.6,5.0,110
The Conspirator,2010,Robert Redford,Wildwood Enterprises|American Film Company,Crime|Drama|History,25.0,15.48,-9.52,-0.38,0.59,5.9,78
The Heavy,2010,Marcus Warren,Heavy Productions|Contraption Limited,Action|Adventure|Foreign|Thriller,4.5,0.0,-4.5,-1.0,0.58,4.8,10
Death at a Funeral,2010,Neil LaBute,Parabolic Pictures|Screen Gems,Comedy,21.0,49.05,28.049999999999997,1.34,0.58,5.7,134
Mirrors 2,2010,VÃ­ctor GarcÃ­a,Fox 2000 Pictures|Upload Films,Horror|Mystery|Thriller,0.0,0.0,0.0,,0.58,5.4,66
Crazy on the Outside,2010,Tim Allen,Unknown,Comedy|Romance,0.0,0.09,0.09,,0.57,5.6,14
Hesher,2010,Spencer Susser,DRO Entertainment|The Last Picture Company|CatchPlay|Corner Store Entertainment|Filmula,Drama,7.0,0.38,-6.62,-0.95,0.56,6.2,104
Animal Kingdom,2010,David MichÃ´d,Porchlight Films,Drama|Thriller|Crime,5.0,1.0,-4.0,-0.8,0.55,6.7,117
Marmaduke,2010,Tom Dey,Twentieth Century Fox Film Corporation,Family|Comedy,50.0,83.76,33.760000000000005,0.68,0.55,4.9,75
Cave of Forgotten Dreams,2010,Werner Herzog,creative differences|History films,Documentary|Family,0.0,6.47,6.47,,0.55,7.1,32
Jack Goes Boating,2010,Philip Seymour Hoffman,Cooper's Town Productions|Big Beach Films|Labyrinth Theater Company|Olfactory Productions,Comedy|Drama|Romance,0.0,0.54,0.54,,0.55,6.0,22
Red Hill,2010,Patrick Hughes,Wildheart Films|Screen Australia|Hughes House Film|Wolf Creek Pictures|McMahon International Pictures,Action|Thriller|Western,0.0,0.0,0.0,,0.55,6.1,23
Frozen,2010,Adam Green,ArieScope Pictures|A Bigger Boat,Thriller,0.0,3.07,3.07,,0.54,5.8,322
Wall Street: Money Never Sleeps,2010,Oliver Stone,Twentieth Century Fox Film Corporation|Dune Entertainment|Dune Entertainment III|Edward R. Pressman Film,Drama|Crime,70.0,134.75,64.75,0.92,0.54,5.8,325
The Whistleblower,2010,Larysa Kondracki,First Generation Films|Mandalay Vision|Samuel Goldwyn Films|Voltage Pictures|Primary Productions,Drama|Thriller|Crime,0.0,0.0,0.0,,0.53,6.7,75
Legend of the BoneKnapper Dragon,2010,John Puglisi,DreamWorks Animation,TV Movie|Animation|Fantasy,0.0,0.0,0.0,,0.53,6.5,42
Please Give,2010,Nicole Holofcener,Sony Pictures Classics|Likely Story|Feelin' Guilty,Comedy|Drama,3.0,0.0,-3.0,-1.0,0.53,5.6,24
Carlos,2010,Olivier Assayas,Egoli Tossell Film AG|Canal+|Arte France|Films en Stock,Crime|Drama|Thriller|History,18.0,0.87,-17.13,-0.95,0.53,6.2,35
Jack and the Beanstalk,2010,Gary J. Tunnicliffe,Unknown,Adventure|Comedy|Family|Fantasy,0.0,0.0,0.0,,0.53,6.3,15
Shanghai,2010,Mikael HÃ¥fstrÃ¶m,"Living Films|Weinstein Company, The|Phoenix Pictures|TWC Asian Film Fund",Drama|Mystery|Romance,50.0,0.0,-50.0,-1.0,0.53,6.0,28
The Bang Bang Club,2010,Steven Silver,Film Foundry Partners,Drama|Romance,0.0,0.0,0.0,,0.53,6.7,33
Wrecked,2010,Michael Greenspan,TÃ©lÃ©film Canada|Independent Edge FIlms|Canadian Film or Video Production Tax Credit (CPTC)|Province of British Columbia Film Incentive BC|Three-Seven Entertainment,Thriller|Mystery,0.0,0.01,0.01,,0.52,5.3,54
The Tortured,2010,Robert Lieberman,Twisted Pictures|MP Productions|LightTower Entertainment|Twisted Light Productions,Horror,8.5,0.0,-8.5,-1.0,0.52,5.6,22
The Last Song,2010,Julie Anne Robinson,Touchstone Pictures,Drama|Family|Romance,0.0,0.0,0.0,,0.52,6.8,529
The Human Centipede 2 (Full Sequence),2010,Tom Six,Six Entertainment,Drama|Horror|Crime,0.0,0.0,0.0,,0.52,4.7,159
Another Year,2010,Mike Leigh,Film4|Thin Man Films,Comedy|Drama,8.0,18.12,10.120000000000001,1.27,0.51,6.7,46
Barbie: A Fashion Fairytale,2010,William Lau,Mattel|Evolution Films,Family|Animation,0.0,0.0,0.0,,0.51,6.5,31
Everything Must Go,2010,Dan Rush,Birdsong Pictures|IM Global,Comedy|Drama|Romance,5.0,2.61,-2.39,-0.48,0.51,5.8,111
Sherlock Holmes,2010,Rachel Goldenberg,The Asylum,Fantasy|Drama|Horror|Action|Thriller,0.0,0.0,0.0,,0.51,5.5,35
The Crazies,2010,Breck Eisner,Penn Station Entertainment|Participant Media|Imagenation Abu Dhabi FZ|Overture Films,Mystery|Horror|Action,20.0,54.96,34.96,1.75,0.51,6.1,320
Chatroom,2010,Hideo Nakata,Ruby Films,Drama|Thriller,0.0,0.0,0.0,,0.51,5.9,65
The Client List,2010,Eric Laneuville,Sony Pictures Television|Jaffe / Braunstein Entertainment|Fedora Films,Drama,0.0,0.0,0.0,,0.51,5.2,25
í¬í™” ì†ìœ¼ë¡œ,2010,John H. Lee,Taewon Entertainment|CJ Entertainment|UBU Film|H Plus Communication,War,0.01,0.0,-0.01,-1.0,0.51,6.9,21
Rabbit Hole,2010,John Cameron Mitchell,Olympus Pictures,Drama,5.0,5.13,0.1299999999999999,0.03,0.5,6.6,73
Somewhere,2010,Sofia Coppola,American Zoetrope|Focus Features|PathÃ©!|Tohokushinsha,Drama,8.0,0.0,-8.0,-1.0,0.5,6.2,120
Alpha and Omega,2010,Anthony Bell|Ben Gluck,Lions Gate Family Entertainment|Relativity Media|Crest Animation Productions,Family|Animation,20.0,39.3,19.299999999999997,0.96,0.5,5.5,84
You Will Meet a Tall Dark Stranger,2010,Woody Allen,Antena 3 Films,Comedy|Drama|Romance,22.0,0.0,-22.0,-1.0,0.49,5.8,131
You Don't Know Jack,2010,Barry Levinson,Bee Holder Productions|Royal Oak Films|HBO Films|Cine Mosaic,Drama,0.0,0.0,0.0,,0.49,6.7,49
Scooby-Doo! Curse of the Lake Monster,2010,Brian Levant,Warner Bros. Pictures|Atlas Entertainment|Cartoon Network Studios|Nine/8 Entertainment,Mystery|Fantasy|Comedy|Adventure,0.0,0.0,0.0,,0.49,5.0,31
Open Season 3,2010,Cody Cameron,Sony Pictures Animation,Animation|Family|Comedy,0.0,0.0,0.0,,0.48,5.3,64
Dog Pound,2010,Kim Chapiron,Angoa-Agicoa|TÃ©lÃ©film Canada|Mars Films|Partizan|Canal+,Drama,0.0,0.43,0.43,,0.48,7.7,53
16 Wishes,2010,Peter DeLuise,Disney Channel|Marvista Entertainment,Fantasy|Drama|Family,0.0,0.0,0.0,,0.47,5.4,162
StarStruck,2010,Michael Grossman,Disney Channel,Comedy|Romance|TV Movie,0.0,0.0,0.0,,0.47,6.0,112
Operation: Endgame,2010,Fouad Mikati,Infinity Films|Anchor Bay Films,Adventure|Action|Comedy|Thriller,0.0,0.0,0.0,,0.47,5.4,33
Yogi Bear,2010,Eric Brevig,De Line Pictures|Warner Bros. Animation|Sunswept Entertainment|Rhythm and Hues|Picnic Basket,Comedy|Family|Animation|Adventure,80.0,201.58,121.58000000000001,1.52,0.47,5.1,146
Flicka 2,2010,Michael Damian,20th Century Fox Film Corporation,Adventure,0.0,0.0,0.0,,0.46,6.0,13
Friendship!,2010,Markus Goller,Mr. Brown Entertainment Filmproduction GmbH (Potsdam)|SevenPictures|Wiedemann & Berg Filmproduktion|Deutsche Columbia TriStar Filmproduktion|barefoot films,Comedy,0.0,0.0,0.0,,0.46,7.0,33
StreetDance 3D,2010,Max Giwa|Dania Pasquini,BBC Films|Vertigo Films|Little Gaddesden Productions,Drama,5.7731,18.14,12.366900000000001,2.14,0.46,5.8,54
Scared Shrekless,2010,Gary Trousdale|Raman Hui,DreamWorks Animation,Animation|Comedy,0.0,0.0,0.0,,0.45,6.4,49
The 41â€“Yearâ€“Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,2010,Craig Moss,Silver Nitrate Films,Comedy,0.0,0.0,0.0,,0.45,3.2,17
Just Wright,2010,Sanaa Hamri,Fox Searchlight Pictures|Dune Entertainment|Flavor Unit Entertainment,Comedy|Drama|Romance,0.0,21.52,21.52,,0.45,6.0,70
Superman/Batman: Apocalypse,2010,Lauren Montgomery,DC Comics|Warner Premiere,Animation|Action|Adventure,3.5,0.0,-3.5,-1.0,0.44,7.0,95
Super,2010,James Gunn,This Is That Productions|Ambush Entertainment|Crimson Bolt,Comedy|Action|Drama,2.5,0.32,-2.18,-0.87,0.44,6.6,211
The Tempest,2010,Julie Taymor,Miramax Films|Touchstone Pictures,Fantasy|Drama,20.0,0.35,-19.65,-0.98,0.44,6.1,16
PiÃ¨ce MontÃ©e,2010,Denys Granier-Deferre,2.4.7. Films,Comedy,0.0,0.0,0.0,,0.44,5.4,10
Burning Palms,2010,Christopher B. Landon,Films In Motion,Comedy|Drama|Family,5.8,0.0,-5.8,-1.0,0.44,5.5,11
Sound of Noise,2010,Johannes StjÃ¤rne Nilsson|Ola Simonsson,Film i VÃ¤st|Nordisk Film|Film i SkÃ¥ne|Bliss|dfm Fiktion,Comedy,4.466,0.0,-4.466,-1.0,0.44,7.2,29
Bloomington,2010,Fernanda Cardoso,Frontier Studios,Drama|Romance,0.0,0.0,0.0,,0.43,6.1,23
Womb,2010,Benedek Fliegauf,Razor Film Produktion GmbH,Romance|Science Fiction,3.1,0.0,-3.1,-1.0,0.42,5.6,40
Donkey's Christmas Shrektacular,2010,Walt Dohrn,DreamWorks Animation,Fantasy|Animation|Drama|Comedy|Science Fiction,0.0,0.0,0.0,,0.42,5.1,14
My Girlfriend's Boyfriend,2010,Daryn Tufts,fiftyfilms,Comedy|Romance,1.4,0.0,-1.4,-1.0,0.42,6.0,31
Every Day,2010,Richard Levine,Unknown,Drama|Comedy|Romance,0.0,0.02,0.02,,0.42,4.5,19
Sintel,2010,Colin Levy,Blender Foundation,Animation|Fantasy,0.55,0.0,-0.55,-1.0,0.61,7.6,51
BloodRayne: The Third Reich,2010,Uwe Boll,Boll Kino Beteiligungs GmbH & Co. KG,Action|Adventure|Fantasy|Horror,10.0,0.0,-10.0,-1.0,0.42,3.6,38
Firebreather,2010,Peter Chung,Cartoon Network Studios,Adventure|Fantasy|Animation|Action|Thriller,0.0,0.0,0.0,,0.42,6.0,19
Going Postal,2010,Jon Jones,The Mob Film Company,Fantasy|Comedy|Science Fiction,0.0,0.0,0.0,,0.41,6.5,36
Superman/Shazam!: The Return of Black Adam,2010,Joaquim Dos Santos,DC Comics|Warner Premiere,Animation|Action,0.0,0.0,0.0,,0.23,7.0,46
Titanic II,2010,Shane Van Dyke,The Global Asylum,Action|Adventure|Thriller,0.0,0.0,0.0,,0.41,2.7,32
Country Strong,2010,Shana Feste,Maguire Entertainment|Screen Gems|Sony Pictures Home Entertainment,Drama|Romance,15.0,20.53,5.530000000000001,0.37,0.41,5.9,49
YellowBrickRoad,2010,Andy Mitton|Jesse Holland,Points North Film,Horror|Thriller,0.5,0.0,-0.5,-1.0,0.4,5.0,22
Justice League: Crisis on Two Earths,2010,Sam Liu|Lauren Montgomery,DC Comics|Warner Premiere,Action|Adventure|Animation,0.0,0.0,0.0,,0.4,7.1,79
Exit Through the Gift Shop,2010,Banksy,Paranoid Pictures,Documentary,0.0,4.79,4.79,,0.4,7.7,200
Mr. Nice,2010,Bernard Rose,Kanzaman|Prescience|Lipsync Productions|Independent,Crime|Drama|Comedy,0.0,0.85,0.85,,0.4,6.2,33
Kongen av BastÃ¸y,2010,Marius Holst,MACT Productions,Drama|Action,10.0,0.0,-10.0,-1.0,0.39,6.6,32
"Tomorrow, When the War Began",2010,Stuart Beattie,Omnilab Media|Ambience Entertainment,Action|Adventure|Drama,27.0,16.5,-10.5,-0.39,0.39,6.5,112
Sint,2010,Dick Maas,Parachute Pictures|TDMP,Horror|Comedy,0.0,0.0,0.0,,0.39,4.7,25
Into the Universe with Stephen Hawking,2010,Iain Riddick|Martin Williams|Nathan Williams,Discovery Channel Productions,Documentary,0.0,0.0,0.0,,0.39,7.0,15
GÃ´ruden suranbÃ¢,2010,Yoshihiro Nakamura,Unknown,Action|Comedy|Drama|Mystery|Thriller,0.0,0.0,0.0,,0.39,7.3,11
And Soon the Darkness,2010,Marcos Efron,StudioCanal|Abandon Pictures|Sandbar Pictures|Anchor Bay Entertainment|Redrum Films,Horror|Thriller|Crime|Mystery,0.0,0.0,0.0,,0.39,5.1,54
Lottery Ticket,2010,Erik White,Cube Vision|Sweepstake Productions,Comedy,0.0,0.0,0.0,,0.38,5.8,30
The Pillars of the Earth,2010,Sergio Mimica-Gezzan,Scott Free Productions|Tandem Communications|The Movie Network (TMN)|Muse Entertainment Enterprises|Movie Central Network,Drama|History|Romance,0.0,0.0,0.0,,0.08,7.3,22
Extraordinary Measures,2010,Tom Vaughan,Double Feature Films|CBS Films,Drama,31.0,15.13,-15.87,-0.51,0.38,5.8,44
Family Guy Presents: It's a Trap!,2010,Peter Shin,20th Century Fox Television,Animation|Fantasy|Comedy|Science Fiction,0.0,0.0,0.0,,0.37,7.0,89
Devil,2010,John Erick Dowdle,Universal Pictures|Media Rights Capital|Night Chronicles|Relativity Media,Horror|Mystery|Thriller,10.0,33.58,23.58,2.36,0.37,5.6,433
Kaboom,2010,Gregg Araki,Wild Bunch|Desperate Pictures|Super Crispy Entertainment,Science Fiction|Comedy|Mystery,0.0,0.54,0.54,,0.37,5.3,68
Welcome to the Rileys,2010,Jake Scott,Destination Films|Scott Free Productions|Film Rites|Samuel Goldwyn Films|Argonaut Pictures,Drama,0.0,0.04,0.04,,0.36,6.3,80
Boy Wonder,2010,Michael Morrissey,Boy Wonder Films,Action|Crime|Drama|Thriller,0.0,0.0,0.0,,0.36,5.8,26
HÃ¦vnen,2010,Susanne Bier,Zentropa Entertainments,Drama,15.0,0.0,-15.0,-1.0,0.36,7.1,60
Sundays at Tiffany's,2010,Mark Piznarski,Dan Wigutow Productions|Lifetime Television|Sony Pictures Television,Drama|Romance,0.0,0.0,0.0,,0.36,6.0,16
Day & Night,2010,Teddy Newton,Pixar Animation Studios,Animation|Adventure|Comedy|Family|Fantasy,0.0,0.0,0.0,,0.36,7.6,179
Cyrus,2010,Jay Duplass|Mark Duplass,Scott Free Productions,Comedy|Drama|Romance,7.0,0.0,-7.0,-1.0,0.35,6.1,75
Smokin' Aces 2: Assassins' Ball,2010,P.J. Pesce,Capital Arts Entertainment|Universal Studios Home Entertainment|Working Title Films|Always Split Aces Productions,Action|Comedy|Crime|Thriller,8.0,0.0,-8.0,-1.0,0.35,5.4,53
Daydream Nation,2010,Michael Goldbach,Lila 9th Productions,Drama|Romance,0.0,0.0,0.0,,0.35,5.7,35
Atrocious,2010,Fernando Barreda Luna,Nabu Films|Silencio Rodamos Producciones,Horror|Thriller,0.0,0.0,0.0,,0.35,4.8,24
The Bunny Game,2010,Adam Rehmeier,Unknown,Horror,0.0,0.0,0.0,,0.19,4.8,11
Inception: The Cobol Job,2010,Ian Kirby,Warner Bros. Pictures,Animation|Action|Thriller|Science Fiction,0.0,0.0,0.0,,0.34,7.3,177
Happy People: A Year in the Taiga,2010,Werner Herzog|Dmitry Vasyukov,Studio Babelsberg,Documentary,0.0,0.34,0.34,,0.34,7.1,22
Our Family Wedding,2010,Rick Famuyiwa,Fox Searchlight Pictures|Dune Entertainment|Sneak Preview Entertainment|Pointe Studios,Comedy,14.0,21.41,7.41,0.53,0.31,5.9,26
ì˜í˜•ì œ,2010,Jang Hoon,Showbox,Drama|Thriller|Foreign,0.0,0.0,0.0,,0.15,6.3,10
"Ultramarines: A Warhammer 40,000 Movie",2010,Martyn Pick,Good Story Productions|POP6|Codex Pictures,Animation|Science Fiction,0.0,0.0,0.0,,0.34,5.5,15
Double Wedding,2010,Craig Pryce,Jaffe / Braunstein Enterprise|Lifetime Network,Comedy|Drama|Romance,104.002432,0.0,-104.002432,-1.0,0.33,5.3,12
Halo Legends,2010,Shinji Aramaki|Hideki Futamura,Microsoft,Action|Animation|Science Fiction,0.1,1.0,0.9,9.0,0.33,7.2,19
Free Willy: Escape From Pirate's Cove,2010,Will Geiger,Warner Bros.,Action|Adventure|Drama|Family,0.0,0.0,0.0,,0.33,5.1,22
Barney's Version,2010,Richard J. Lewis,Serendipity Point Films,Comedy|Drama,30.0,8.45,-21.55,-0.72,0.33,6.9,70
Frankie & Alice,2010,Geoffrey Sax,Access Motion Pictures,Drama|Thriller,0.0,0.69,0.69,,0.33,5.7,14
The People vs. George Lucas,2010,Alexandre O. Philippe,Unknown,Documentary,0.0,0.0,0.0,,0.26,5.9,19
Edge of Darkness,2010,Martin Campbell,Icon Productions|BBC Films|GK Films|Warner Bros.,Crime|Drama|Mystery|Thriller,80.0,74.9,-5.099999999999994,-0.06,0.33,6.0,276
Altitude,2010,Kaare Andrews,Darclight Films,Horror|Action|Thriller|Science Fiction,0.0,0.0,0.0,,0.32,4.8,36
The Reef,2010,Andrew Traucki,Lightning Entertainment|Screen Australia|Screen NSW|ProdigyMovies|Mysterious Light,Drama|Horror|Thriller,0.0,0.0,0.0,,0.32,5.3,59
The Clinic,2010,James Rabbitts,Accelerator Films|Great Southern Land Entertainment|RMB Productions,Mystery|Horror|Thriller|Crime,0.0,0.0,0.0,,0.33,5.1,25
En ganske snill mann,2010,Hans Petter Moland,Paradox Produksjon,Comedy|Crime|Drama,0.0,0.0,0.0,,0.32,6.3,14
4.3.2.1,2010,Noel Clarke|Mark Davis,Unstoppable Entertainment|Atlantic Swiss Productions|Veneration Music|Retro-juice Productions,Action|Thriller|Crime|Romance,4.6,1.16,-3.4399999999999995,-0.75,0.32,5.9,37
Dirty Girl,2010,Abe Sylvia,iDeal Partners Film Fund,Drama|Comedy,4.0,0.06,-3.94,-0.98,0.32,6.2,36
The Tree,2010,Julie Bertuccelli,Kojo Pictures|Tatfilm Produktionsges. mbH|Dorje Film|Les Films du Poisson|Canal+,Drama,0.0,0.0,0.0,,0.31,6.7,23
Bereavement,2010,Stevan Mena,Unknown,Crime|Horror|Mystery,2.0,0.0,-2.0,-1.0,0.31,5.9,12
Minions: Orientation Day,2010,Kyle Balda|Samuel Tourneux,Universal Pictures|Illumination Entertainment,Animation|Comedy|Family,0.0,0.0,0.0,,0.31,7.0,79
The Chosen One,2010,Rob Schneider,Unknown,Comedy,0.0,0.0,0.0,,0.31,5.1,10
Catfish,2010,Henry Joost|Ariel Schulman,Hit the Ground Running Films,Documentary,0.03,3.05,3.02,100.67,0.35,6.4,125
Furry Vengeance,2010,Roger Kumble,Summit Entertainment|Robert Simonds Productions|Participant Media|Imagenation Abu Dhabi FZ|Furry Vengeance Productions,Comedy,35.0,39.34,4.340000000000003,0.12,0.3,4.7,75
Casino Jack,2010,George Hickenlooper,An Olive Branch Productions|Rollercoaster Entertainment|Vortex Words Pictures|Hannibal Pictures|Trigger Street Productions,Crime|Comedy|Drama,12.5,1.08,-11.42,-0.91,0.3,6.0,43
Kites,2010,Anurag Basu,Bollywood Hollywood Production,Drama|Action|Romance,0.0,0.0,0.0,,0.3,5.8,30
Quantum Apocalypse,2010,Justin Jones,Bullet Films|Rolize GmbH & Co.,TV Movie|Science Fiction,2.5,0.0,-2.5,-1.0,0.3,3.3,11
Hatchet II,2010,Adam Green,ArieScope Pictures|Dark Sky Films,Horror|Comedy|Thriller,2.5,0.05,-2.45,-0.98,0.3,5.1,42
The First Grader,2010,Justin Chadwick,Original Pictures|Sixth Sense Productions,Romance|Drama,0.0,0.0,0.0,,0.29,5.5,16
The Pacific,2010,Jeremy Podeswa|Tim Van Patten|David Nutter|Graham Yost|Carl Franklin|Tony To,Playtone|HBO|DreamWorks Television,War|Drama|Action|Adventure|History,120.0,0.0,-120.0,-1.0,0.76,7.8,183
Chun sing gai bei,2010,Benny Chan,Enlight Pictures|Shanxi Film Studio|Guangzhou Ying Ming Media Co.,Action|Thriller|Science Fiction|Foreign,0.0,0.0,0.0,,0.29,5.0,11
Lake Placid 3,2010,G.E. Furst,Stage 6 Films|Curmudgeon Films|RCR Media Group|UFO Films,Horror|Action|Science Fiction|Thriller,2.5,0.0,-2.5,-1.0,0.29,3.3,16
The Myth of the American Sleepover,2010,David Robert Mitchell,Roman Spring Pictures,Romance|Comedy|Drama,0.0,0.0,0.0,,0.29,6.3,18
Harriet the Spy: Blog Wars,2010,Ron Oliver,Disney Channel|9 Story Media Group,Comedy|Drama|Family|TV Movie,0.0,0.0,0.0,,0.29,4.1,25
Brotherhood,2010,Will Canon,Unknown,Drama|Action|Thriller,0.0,0.0,0.0,,0.29,6.0,13
Dylan Dog: Dead of Night,2010,Kevin Munroe,Hyde Park Films|platinum studios|Long Distance Films,Action|Comedy|Horror|Mystery|Science Fiction,20.0,4.63,-15.370000000000001,-0.77,0.28,4.9,69
Ben Hur,2010,Steve Shill,Akkord Film Produktion GmbH|Drimtim Entertainment|Muse Entertainment Enterprises|Zak Productions|FishCorb Films,Family|History|Action|Drama,0.0,0.0,0.0,,0.28,6.4,14
Road Train,2010,Dean Francis,Screen Australia|Fulcrum Media Finance|ProdigyMovies,Horror|Thriller|Science Fiction,0.0,0.0,0.0,,0.28,3.2,14
Lying to Be Perfect,2010,Gary Harvey,Front Street Pictures|Lifetime Productions,Comedy,0.0,0.0,0.0,,0.28,5.8,23
Third Star,2010,Hattie Dalton,Unknown,Drama,0.0,0.0,0.0,,0.28,7.1,18
Milf,2010,Scott Wheeler,The Asylum|The Global Asylum,Comedy,0.5,0.0,-0.5,-1.0,0.49,3.9,11
Howl,2010,Rob Epstein|Jeffrey Friedman,RabbitBandini Productions|Werc Werk Works,Drama,0.03,0.62,0.59,19.67,0.28,6.8,45
Freakonomics,2010,Alex Gibney|Rachel Grady|Heidi Ewing|Seth Gordon|Eugene Jarecki|Morgan Spurlock,Chad Troutwine Films|Green Film Company|Human Worldwide|Loki Films,Documentary,3.0,0.1,-2.9,-0.97,0.28,6.7,25
Tiny Furniture,2010,Lena Dunham,Tiny Ponies,Comedy,0.065,0.0,-0.065,-1.0,0.27,5.8,29
The Perfect Game,2010,William Dear,"HighRoad Entertainment|Prelude Pictures|Lone Runner Entertainment|Kenio Films|Perfect Game, The",Drama|Family,12.5,3.88,-8.620000000000001,-0.69,0.27,5.7,12
Happythankyoumoreplease,2010,Josh Radnor,Paper Street Films|Tom Sawyer Entertainment|Back Lot Pictures,Comedy|Romance,0.0,0.22,0.22,,0.27,6.4,51
Scrat's Continental Crack-Up,2010,Steve Martino|Mike Thurmeier,Blue Sky Studios,Animation,0.0,0.0,0.0,,0.27,7.1,20
The Prince & Me 4: The Elephant Adventure,2010,Catherine Cyran,Swingin' Productions|M1 Films,Comedy|Romance,2.5,0.0,-2.5,-1.0,0.27,5.8,14
Jesse Stone: No Remorse,2010,Robert Harmon,Brandman Productions,Drama|Thriller|Crime|Mystery,0.0,0.0,0.0,,0.28,5.9,10
Dead Space: Aftermath,2010,Mike Disa,Film Roman Productions|Starz Media|Electronic Arts (EA)|Gotham Group|Visceral Games,Animation|Horror|Science Fiction,2.5,0.0,-2.5,-1.0,0.26,5.7,19
Prowl,2010,Patrik Syversen,After Dark Films|Dobre Films|Midsummer Films|Vision Entertainment Group,Horror|Thriller,0.0,0.0,0.0,,0.26,4.2,17
Stake Land,2010,Jim Mickle,Glass Eye Pix|Belladonna Productions|Off Hollywood Pictures,Drama|Horror|Action|Thriller|Science Fiction,0.65,0.03,-0.62,-0.95,0.26,6.2,143
DC Showcase: Jonah Hex,2010,Joaquim Dos Santos,DC Comics|Warner Bros. Animation,Animation|Action|Western,0.0,0.0,0.0,,0.26,6.0,11
Super Hybrid,2010,Eric Valette,TADORA Filmproduktions|Stallion Media|Studio 407,Horror,13.0,0.0,-13.0,-1.0,0.26,3.5,14
Bill Burr: Let It Go,2010,Shannon Hartman,Unknown,Comedy,0.0,0.0,0.0,,0.25,8.0,12
Red White & Blue,2010,Simon Rumley,Fidelity Films|Rumleyvision|ScreenProjex,Drama|Thriller,0.0,0.0,0.0,,0.16,5.7,13
Pregnancy Pact,2010,Rosemary Rodriguez,Unknown,Drama,0.0,0.0,0.0,,0.25,4.5,26
Restrepo,2010,Tim Hetherington|Sebastian Junger,Outpost Productions,Documentary|War,0.0,1.42,1.42,,0.19,7.1,78
The Warrior's Way,2010,Sngmoo Lee,Boram Entertainment Inc.,Adventure|Fantasy|Action|Western|Thriller,425.0,11.09,-413.91,-0.97,0.25,6.4,74
Hubble 3D,2010,Toni Myers,Warner Bros.|IMAX Space Ltd.,Documentary,0.0,0.0,0.0,,0.38,6.5,31
Burke & Hare,2010,John Landis,Ealing Studios|Fragile Films|Quickfire Films|Prescience|Aegis Film Fund,Comedy|Thriller,10.0,4.35,-5.65,-0.57,0.25,6.0,75
Abandoned,2010,Michael Feifer,Renegade Pictures,Drama|Mystery|Thriller,0.0,0.0,0.0,,0.25,4.8,23
Beautiful Boy,2010,Shawn Ku,First Point Entertainment|Braeburn Entertainment,Drama,0.0,0.06,0.06,,0.25,5.9,13
Scooby-Doo! Abracadabra-Doo,2010,Spike Brandt,Warner Bros. Animation,Animation|Comedy|Family|Mystery,0.0,0.0,0.0,,0.24,6.4,12
Space Chimps 2: Zartog Strikes Back,2010,John H. Williams,Wonderworld Studios,Animation|Family,0.0,0.0,0.0,,0.24,5.0,17
Lost Boys: The Thirst,2010,Darlo Piana,ApolloMovie Beteiligungs|Thunder Road Pictures|Hollywood Media Bridge|Film Afrika Worldwide,Action|Adventure|Comedy,4.4,0.0,-4.4,-1.0,0.24,5.3,26
Elektra Luxx,2010,Sebastian Gutierrez,Gato Negro Films,Action|Comedy|Drama,0.0,0.0,0.0,,0.56,4.2,23
The Traveler,2010,Michael Oblowitz,Hollywood Media Bridge|Front Street Pictures|Voltage Pictures,Horror|Thriller,0.0,0.0,0.0,,0.24,6.0,10
Inhale,2010,Baltasar KormÃ¡kur,26 Films,Drama|Action|Thriller,10.0,0.06,-9.94,-0.99,0.24,5.9,21
Four Lions,2010,Chris Morris,Film4|Drafthouse Films|Warp Films|Wild Bunch Distribution,Comedy|Crime|Drama,0.967686,4.27,3.3023139999999995,3.41,0.24,7.0,262
Les 7 jours du talion,2010,Daniel Grou,Go Films,Drama|Horror|Thriller,0.0,0.0,0.0,,0.24,6.3,23
Beneath Hill 60,2010,Jeremy Sims,New South Wales Film & Television Office|Pacific Film and Television Commission|Screen Australia|The Silence Productions|Lucky Country Productions,Drama|History|War,7.347125,0.0,-7.347125,-1.0,0.28,7.6,28
2010: Moby Dick,2010,Trey Stokes,"Asylum, The",Action|Adventure|Drama|Horror|Science Fiction,0.0,0.0,0.0,,0.23,2.5,17
Brighton Rock,2010,Rowan Joffe,BBC Films|StudioCanal|UK Film Council,Drama|Thriller|Crime,0.0,0.0,0.0,,0.41,5.4,22
X,2010,Jon Hewitt,Unknown,Action|Thriller|Romance,0.0,0.0,0.0,,0.23,5.3,20
Exorcismus,2010,Manuel Carballo,Filmax,Foreign|Horror|Thriller,0.0,0.0,0.0,,0.23,5.5,24
Cemetery Junction,2010,Ricky Gervais|Stephen Merchant,Columbia Pictures|Sony International Motion Picture Production Group,Drama|Comedy,0.0,0.0,0.0,,0.23,6.8,42
Aziz Ansari: Intimate Moments for a Sensual Evening,2010,Jason Woliner,Comedy Central,Comedy,0.0,0.0,0.0,,0.23,6.4,14
